date,corr
2019-09-16,0.00638785675880089
2019-09-17,0.1376421480242204
2019-09-18,0.18814130878266036
2019-09-19,0.07854470351921201
2019-09-20,-0.043073275000750665
2019-09-23,0.14367346560047728
2019-09-24,0.033451673392551236
2019-09-25,0.14584367128794073
2019-09-26,0.16746768261600267
2019-09-27,0.22088971654177292
2019-09-30,0.12018550814291952
2019-10-08,0.12287306119625926
2019-10-09,0.06763581487596769
2019-10-10,0.005917928433756181
2019-10-11,0.06339932367123999
2019-10-14,0.07321466399614403
2019-10-15,0.21662951573932102
2019-10-16,0.09666050191190759
2019-10-17,0.12447868922130374
2019-10-18,0.13125717608175688
2019-10-21,0.04800216178129255
2019-10-22,-0.061644743619328424
2019-10-23,0.11021066309306012
2019-10-24,0.04125317953113821
2019-10-25,0.067501548672945
